datetime,latitude,longitude,depth
2020-01-01 19:01:54.900000,40.8197,28.9303,13.1
2020-01-02 04:57:48.500000,40.6353,29.1317,7.0
2020-01-02 11:18:40.900000,40.8308,28.347,7.5
2020-01-02 18:58:53.200000,40.7002,29.2073,16.4
2020-01-03 00:39:11.700000,40.882,28.2262,10.0
2020-01-03 14:51:44.900000,40.8223,27.9467,14.0
2020-01-04 11:31:16.100000,40.6245,29.1602,7.0
2020-01-04 17:13:02.800000,40.7703,29.0457,15.0
2020-01-04 21:48:00.800000,40.8895,28.2225,8.1
2020-01-05 00:13:31.500000,40.8927,28.2283,2.1
2020-01-05 02:12:48.700000,40.598,28.9575,16.6
2020-01-05 20:19:49.900000,40.7808,29.06,8.8
2020-01-08 08:51:20.000000,40.6532,29.1103,9.9
2020-01-11 03:28:02.400000,40.7042,27.4173,9.4
2020-01-11 03:28:57.800000,40.7185,27.4257,9.2
2020-01-11 03:33:16.200000,40.6975,27.4017,8.7
2020-01-11 03:33:59.500000,40.6978,27.42,4.3
2020-01-11 03:36:07.500000,40.6997,27.4065,9.3
2020-01-11 03:37:04.000000,40.6947,27.3822,5.4
2020-01-11 03:39:55.600000,40.6945,27.4122,8.9
2020-01-11 03:40:26.400000,40.7012,27.422,9.2
2020-01-11 03:43:27.700000,40.6838,27.3233,6.8
2020-01-11 03:43:46.000000,40.7047,27.4157,9.6
2020-01-11 03:44:30.600000,40.7145,27.3807,5.9
2020-01-11 03:45:49.500000,40.6855,27.3993,7.2
2020-01-11 03:49:50.100000,40.701,27.401,8.8
2020-01-11 03:57:34.500000,40.6897,27.4075,5.9
2020-01-11 03:59:03.400000,40.6708,27.3957,5.0
2020-01-11 04:14:45.500000,40.6838,27.3963,7.4
2020-01-11 04:20:44.500000,40.701,27.4,8.8
2020-01-11 04:38:19.100000,40.6993,27.4048,7.8
2020-01-11 04:39:19.600000,40.7015,27.4037,8.2
2020-01-11 04:42:50.300000,40.7023,27.4087,8.6
2020-01-11 05:09:12.300000,40.7005,27.4118,8.9
2020-01-11 05:12:17.000000,40.7127,27.4212,11.4
2020-01-11 05:15:26.200000,40.7005,27.403,10.4
2020-01-11 05:25:22.900000,40.7368,27.4435,8.9
2020-01-11 05:27:39.700000,40.7088,27.3938,10.0
2020-01-11 05:33:57.300000,40.6953,27.3985,8.0
2020-01-11 05:42:19.200000,40.7328,27.4232,11.3
2020-01-11 06:07:32.500000,40.72,27.3675,11.6
2020-01-11 06:12:51.100000,40.7213,27.3812,11.6
2020-01-11 06:16:55.200000,40.7072,27.397,10.1
2020-01-11 06:21:49.300000,40.7078,27.391,10.6
2020-01-11 06:29:01.600000,40.7142,27.3942,10.5
2020-01-11 06:31:16.100000,40.6892,27.3905,6.1
2020-01-11 06:33:05.400000,40.7228,27.4218,9.9
2020-01-11 06:34:30.500000,40.7107,27.4218,7.4
2020-01-11 06:37:36.100000,40.7247,27.4268,11.7
2020-01-11 06:38:26.900000,40.7078,27.4187,13.5
2020-01-11 06:49:34.400000,40.7097,27.4342,12.0
2020-01-11 06:57:30.900000,40.7045,27.4145,9.2
2020-01-11 07:11:56.000000,40.7113,27.4325,9.4
2020-01-11 07:13:08.400000,40.7197,27.4202,12.0
2020-01-11 07:15:21.000000,40.7058,27.408,11.7
2020-01-11 07:25:28.100000,40.7078,27.4197,8.9
2020-01-11 07:27:31.100000,40.7002,27.4213,12.7
2020-01-11 07:49:48.700000,40.7153,27.4183,11.5
2020-01-11 07:57:17.500000,40.665,27.3977,5.0
2020-01-11 08:08:57.100000,40.7223,27.437,11.7
2020-01-11 09:16:50.800000,40.6857,27.4232,3.7
2020-01-11 09:19:42.200000,40.407,27.3947,13.6
2020-01-11 09:24:00.600000,40.716,27.4145,12.0
2020-01-11 09:56:41.000000,40.703,27.407,9.7
2020-01-11 10:00:30.200000,40.7275,27.4192,10.7
2020-01-11 11:04:29.100000,40.6625,27.4312,10.2
2020-01-11 11:18:21.900000,40.7218,27.4033,11.1
2020-01-11 11:36:43.600000,40.8298,27.569,16.7
2020-01-11 12:42:36.400000,40.6992,27.405,11.3
2020-01-11 12:53:10.900000,40.6987,27.4168,7.3
2020-01-11 13:37:36.700000,40.8613,28.2268,14.4
2020-01-11 13:50:26.800000,40.8672,28.28,17.7
2020-01-11 14:32:12.500000,40.8977,28.1928,14.3
2020-01-11 15:04:00.000000,40.7133,27.422,5.8
2020-01-11 15:48:24.700000,40.7175,27.4277,6.6
2020-01-11 15:59:59.300000,40.73,27.4273,15.2
2020-01-11 16:17:12.700000,40.9203,29.3327,0.0
2020-01-11 16:30:47.100000,40.7015,27.4182,5.5
2020-01-11 16:31:25.600000,40.6987,27.4252,5.0
2020-01-11 17:03:50.800000,40.7272,27.441,14.0
2020-01-11 17:06:24.600000,40.7328,27.448,9.7
2020-01-11 19:49:10.300000,40.8508,28.2195,6.9
2020-01-11 21:07:56.200000,40.7152,27.4072,7.3
2020-01-11 21:14:54.400000,40.7263,27.427,9.3
2020-01-12 00:15:17.700000,40.8747,28.258,9.2
2020-01-12 01:29:05.000000,40.7107,27.3753,9.7
2020-01-12 02:47:45.100000,40.9027,28.1922,15.4
2020-01-12 04:54:45.400000,40.8968,28.1913,8.6
2020-01-12 05:11:07.900000,40.8885,28.327,6.4
2020-01-12 12:51:20.600000,40.6988,27.4063,5.4
2020-01-14 15:02:51.400000,40.725,27.4148,8.1
2020-01-14 15:15:15.600000,40.6617,27.3443,8.8
2020-01-15 02:42:45.100000,40.705,27.3692,10.1
2020-01-15 03:05:50.600000,40.7025,27.4143,10.5
2020-01-18 09:23:17.900000,40.852,28.2108,4.6
2020-01-18 11:03:42.500000,40.5875,29.0088,3.5
2020-01-18 21:16:18.200000,40.8633,28.2048,14.5
2020-01-21 22:23:59.000000,40.598,28.9432,18.1
2020-01-23 17:48:10.100000,40.9545,28.306,5.0
2020-01-23 18:19:05.700000,40.9042,28.263,25.3
2020-01-24 00:08:25.000000,40.3167,27.6455,13.8
2020-01-24 04:21:51.400000,40.8657,27.5737,1.5
2020-01-25 03:15:43.500000,40.8518,28.3197,5.5
2020-01-25 09:55:47.500000,40.835,27.99,19.6
2020-01-25 22:49:13.400000,40.5565,27.7995,16.1
2020-01-26 18:11:01.600000,40.7873,27.4805,15.8
2020-01-27 04:50:32.100000,40.5995,28.9377,5.7
2020-01-27 08:03:05.200000,40.8073,28.8385,14.7
2020-01-27 22:44:04.700000,40.8293,28.8335,7.4
2020-01-28 16:54:26.600000,40.8532,28.157,14.5
2020-01-31 10:37:34.500000,40.6172,27.5663,2.4
2020-01-31 13:02:15.700000,40.7952,28.9985,11.0
2020-01-31 13:05:01.600000,40.803,28.9885,11.5
2020-01-31 13:21:58.900000,40.7957,28.9637,11.1
2020-01-31 13:31:51.700000,40.7978,28.9818,11.7
2020-01-31 13:38:16.500000,40.7972,28.999,13.1
2020-01-31 14:02:41.300000,40.8077,28.9365,4.6
2020-01-31 14:49:22.900000,40.3488,28.3638,12.7
2020-01-31 14:51:24.400000,40.3222,28.2733,23.3
2020-01-31 20:36:15.700000,40.8613,28.2845,12.9
2020-10-01 04:17:26.500000,40.8225,28.1903,14.5
2020-10-01 20:34:57.100000,40.8397,28.0093,8.5
2020-10-02 07:32:56.000000,40.4648,29.2698,0.0
2020-10-02 08:43:53.400000,40.6685,27.4387,5.0
2020-10-04 02:36:47.200000,40.5443,28.1405,5.4
2020-10-05 11:53:37.200000,40.9045,28.2298,17.9
2020-10-05 16:39:47.400000,40.8167,28.0358,14.1
2020-10-06 08:52:29.600000,40.4772,29.2822,0.0
2020-10-06 09:15:45.600000,40.7955,29.6053,0.0
2020-10-07 02:01:01.200000,40.8765,28.2167,14.4
2020-10-07 08:45:20.600000,40.5365,29.2572,0.0
2020-10-08 08:27:00.400000,40.4792,29.2802,0.0
2020-10-09 14:58:48.400000,40.5888,27.481,9.4
2020-10-09 21:28:21.300000,40.8235,28.0192,14.8
2020-10-09 22:10:44.400000,40.8347,28.0107,10.3
2020-10-10 13:38:53.300000,40.4348,29.1563,0.0
2020-10-11 21:19:16.600000,40.5873,28.9917,5.3
2020-10-12 19:28:43.300000,40.8468,27.9952,12.1
2020-10-12 19:33:10.500000,40.7693,27.9363,7.5
2020-10-13 16:21:46.300000,40.5748,29.0223,1.4
2020-10-13 23:49:54.100000,40.3928,27.443,14.0
2020-10-14 14:54:09.900000,40.6457,27.5868,3.6
2020-10-15 04:31:15.200000,40.5935,28.9923,6.5
2020-10-15 04:31:59.900000,40.567,29.005,2.1
2020-10-15 04:35:17.400000,40.5872,28.9933,3.8
2020-10-15 13:55:12.900000,40.8722,28.7417,5.4
2020-10-15 14:07:26.900000,40.8775,28.7405,15.2
2020-10-15 15:02:22.300000,40.8717,28.7578,10.0
2020-10-15 18:20:37.700000,40.8382,28.7618,14.1
2020-10-15 20:15:02.200000,40.8803,28.7553,4.5
2020-10-16 02:49:03.900000,40.7578,27.4423,13.8
2020-10-16 04:33:53.800000,40.5932,28.9977,3.9
2020-10-16 10:51:54.500000,40.6063,28.978,11.2
2020-10-16 22:17:24.400000,40.7943,27.4608,17.9
2020-10-17 04:33:45.900000,40.883,28.7365,16.6
2020-10-18 01:40:56.600000,40.6307,29.0758,3.3
2020-10-19 08:53:45.100000,40.6755,27.4117,7.5
2020-10-19 09:00:17.900000,40.7265,27.4373,12.3
2020-10-19 09:00:44.300000,40.6815,27.3952,5.6
2020-10-19 12:23:27.200000,40.6365,29.1013,10.0
2020-10-20 03:31:15.700000,40.6313,29.0943,8.6
2020-10-20 11:14:22.700000,40.3085,29.4095,5.0
2020-10-20 11:29:00.000000,40.4565,29.2047,0.0
2020-10-20 20:17:03.900000,40.6208,28.9773,7.3
2020-10-20 22:26:24.600000,40.803,27.4883,14.7
2020-10-21 02:55:25.900000,40.602,28.9787,5.3
2020-10-21 03:27:26.500000,40.6212,28.9392,13.5
2020-10-21 03:55:19.000000,40.5862,28.9947,5.9
2020-10-21 03:56:54.300000,40.6107,28.9657,9.6
2020-10-22 00:49:49.500000,40.7243,27.4808,14.5
2020-10-23 09:07:52.900000,40.4323,29.269,0.0
2020-10-24 21:49:36.300000,40.4512,29.143,11.5
2020-10-25 15:54:16.200000,40.7698,29.0723,11.8
2020-10-25 21:27:33.300000,40.885,28.2482,8.6
2020-10-25 22:11:52.300000,40.7653,29.084,9.9
2020-10-26 03:11:23.600000,40.7627,28.9438,4.8
2020-10-26 03:14:55.700000,40.7743,29.0702,12.5
2020-10-26 16:10:23.200000,40.7903,29.0743,11.1
2020-10-26 16:13:31.100000,40.782,29.087,18.6
2020-10-26 16:14:18.700000,40.7682,29.0732,7.6
2020-10-26 16:22:02.900000,40.7625,29.0825,14.3
2020-10-26 16:28:26.900000,40.7843,29.0438,10.7
2020-10-26 23:16:54.500000,40.762,29.0942,12.8
2020-10-26 23:18:41.700000,40.7798,29.078,13.2
2020-10-26 23:29:06.900000,40.767,29.0935,8.6
2020-10-26 23:36:39.900000,40.7645,29.097,8.1
2020-10-26 23:50:26.400000,40.7682,29.0837,14.0
2020-10-27 08:39:52.500000,40.5038,29.2588,0.0
2020-10-27 12:13:08.200000,40.4463,29.2067,0.0
2020-10-28 03:18:10.500000,40.6387,29.1967,16.9
2020-10-29 01:23:03.700000,40.5787,27.6142,7.5
2020-10-29 11:18:42.900000,40.5532,28.9853,5.1
2020-10-29 15:40:15.500000,40.4725,29.2105,0.0
2020-10-30 03:14:57.700000,40.7197,27.378,12.0
2020-11-01 09:19:55.100000,40.597,29.2363,0.0
2020-11-01 18:26:12.000000,40.4355,29.0952,8.1
2020-11-01 20:58:48.300000,40.7605,29.2807,4.4
2020-11-02 07:37:41.900000,40.857,28.0067,16.9
2020-11-03 06:46:48.500000,40.5073,29.2762,0.0
2020-11-04 11:49:34.300000,40.8368,28.3458,7.6
2020-11-05 05:46:45.300000,40.8353,28.3002,7.3
2020-11-05 06:12:45.500000,40.823,28.2907,14.3
2020-11-07 10:11:37.600000,40.394,29.186,0.0
2020-11-08 23:11:05.700000,40.6867,27.415,11.7
2020-11-09 02:30:39.300000,40.796,27.8048,15.8
2020-11-09 09:07:53.700000,40.4343,29.2672,0.0
2020-11-09 12:44:13.100000,40.4885,29.1928,0.0
2020-11-10 11:08:35.100000,40.4817,29.2848,0.0
2020-11-10 11:29:40.200000,40.4768,29.2868,0.0
2020-11-11 05:53:59.900000,40.6863,29.2635,6.2
2020-11-11 17:04:52.900000,40.4653,27.7493,3.7
2020-11-12 10:04:20.500000,40.5308,29.2045,0.0
2020-11-13 09:18:43.500000,40.4447,29.2133,0.0
2020-11-15 18:59:03.900000,40.5952,27.5267,12.2
2020-11-17 09:35:41.800000,40.7467,28.1812,13.3
2020-11-17 12:56:22.900000,40.3598,27.358,10.9
2020-11-18 21:14:34.500000,40.7678,27.4578,13.8
2020-11-19 06:08:58.000000,40.8182,28.0923,3.8
