datetime,station_name,phase,arrival_time,amplitude,period
2020-01-01 19:01:54.900,BRGA,IAML,2020-01-01 19:01:58.800,8.6e-09,
2020-01-01 19:01:54.900,HYBA,IAML,2020-01-01 19:01:58.800,8.6e-09,
2020-01-01 19:01:54.900,BUYA,IAML,2020-01-01 19:01:59.100,8.6e-09,
2020-01-01 19:01:54.900,TUZL,IAML,2020-01-01 19:02:00.600,8.6e-09,
2020-01-01 19:01:54.900,ARMT,IAML,2020-01-01 19:02:00.900,8.6e-09,
2020-01-01 19:01:54.900,HVHR,IAML,2020-01-01 19:02:00.600,8.6e-09,
2020-01-01 19:01:54.900,KAVV,IAML,2020-01-01 19:02:00.900,8.6e-09,
2020-01-01 19:01:54.900,LAFA,IAML,2020-01-01 19:02:01.900,8.6e-09,
2020-01-01 19:01:54.900,YLV,IAML,2020-01-01 19:02:03.700,8.6e-09,
2020-01-01 19:01:54.900,KLYT,IAML,2020-01-01 19:02:04.200,8.6e-09,
2020-01-01 19:01:54.900,MDNY,IAML,2020-01-01 19:02:04.100,8.6e-09,
2020-01-01 19:01:54.900,HRTX,IAML,2020-01-01 19:02:06.100,8.6e-09,
2020-01-01 19:01:54.900,SILT,IAML,2020-01-01 19:02:07.700,8.6e-09,
2020-01-01 19:01:54.900,SLVT,IAML,2020-01-01 19:02:08.700,8.6e-09,
2020-01-01 19:01:54.900,KCTX,IAML,2020-01-01 19:02:09.200,8.6e-09,
2020-01-01 19:01:54.900,ADVT,IAML,2020-01-01 19:02:09.400,8.6e-09,
2020-01-01 19:01:54.900,CAVI,IAML,2020-01-01 19:02:13.100,8.6e-09,
2020-01-02 04:57:48.500,TUZL,IAML,2020-01-02 04:57:53.400,4e-10,
2020-01-02 04:57:48.500,LAFA,IAML,2020-01-02 04:57:53.300,4e-10,
2020-01-02 04:57:48.500,ARMT,IAML,2020-01-02 04:57:53.400,4e-10,
2020-01-02 04:57:48.500,BUYA,IAML,2020-01-02 04:57:53.700,4e-10,
2020-01-02 04:57:48.500,HYBA,IAML,2020-01-02 04:57:53.900,4e-10,
2020-01-02 04:57:48.500,BRGA,IAML,2020-01-02 04:57:54.100,4e-10,
2020-01-02 04:57:48.500,MDNY,IAML,2020-01-02 04:57:55.400,4e-10,
2020-01-02 04:57:48.500,KAVV,IAML,2020-01-02 04:57:57.100,4e-10,
2020-01-02 04:57:48.500,OSMT,IAML,2020-01-02 04:57:57.500,4e-10,
2020-01-02 04:57:48.500,HRTX,IAML,2020-01-02 04:57:57.500,4e-10,
2020-01-02 04:57:48.500,ADVT,IAML,2020-01-02 04:57:58.800,4e-10,
2020-01-02 04:57:48.500,BGKT,IAML,2020-01-02 04:58:00.800,4e-10,
2020-01-02 04:57:48.500,ORLT,IAML,2020-01-02 04:58:00.900,4e-10,
2020-01-02 04:57:48.500,SILT,IAML,2020-01-02 04:58:01.400,4e-10,
2020-01-02 04:57:48.500,CAVI,IAML,2020-01-02 04:58:02.400,4e-10,
2020-01-02 04:57:48.500,KCTX,IAML,2020-01-02 04:58:02.400,4e-10,
2020-01-02 04:57:48.500,CTKS,IAML,2020-01-02 04:58:03.100,4e-10,
2020-01-02 04:57:48.500,SLVT,IAML,2020-01-02 04:58:06.600,4e-10,
2020-01-02 04:57:48.500,EDC,IAML,2020-01-02 04:58:08.300,4e-10,
2020-01-02 04:57:48.500,GULT,IAML,2020-01-02 04:58:09.600,4e-10,
2020-01-02 04:57:48.500,CRLT,IAML,2020-01-02 04:58:11.200,4e-10,
2020-01-02 04:57:48.500,TVSB,IAML,2020-01-02 04:58:12.100,4e-10,
2020-01-02 04:57:48.500,GONE,IAML,2020-01-02 04:58:12.800,4e-10,
2020-01-02 04:57:48.500,UVEZ,IAML,2020-01-02 04:58:14.800,4e-10,
2020-01-02 04:57:48.500,GAZK,IAML,2020-01-02 04:58:14.800,4e-10,
2020-01-02 04:57:48.500,SIMA,IAML,2020-01-02 04:58:17.300,4e-10,
2020-01-02 11:18:40.900,SINB,IAML,2020-01-02 11:18:46.500,1.7899999999999998e-08,
2020-01-02 11:18:40.900,YKBL,IAML,2020-01-02 11:18:47.700,1.7899999999999998e-08,
2020-01-02 11:18:40.900,BOTS,IAML,2020-01-02 11:18:47.700,1.7899999999999998e-08,
2020-01-02 11:18:40.900,AVCI,IAML,2020-01-02 11:18:47.900,1.7899999999999998e-08,
2020-01-02 11:18:40.900,SLVT,IAML,2020-01-02 11:18:49.400,1.7899999999999998e-08,
2020-01-02 11:18:40.900,CTKS,IAML,2020-01-02 11:18:49.500,1.7899999999999998e-08,
2020-01-02 11:18:40.900,ARMT,IAML,2020-01-02 11:18:50.800,1.7899999999999998e-08,
2020-01-02 11:18:40.900,BGKT,IAML,2020-01-02 11:18:50.400,1.7899999999999998e-08,
2020-01-02 11:18:40.900,BRGA,IAML,2020-01-02 11:18:51.800,1.7899999999999998e-08,
2020-01-02 11:18:40.900,HYBA,IAML,2020-01-02 11:18:52.100,1.7899999999999998e-08,
2020-01-02 11:18:40.900,KCTX,IAML,2020-01-02 11:18:52.300,1.7899999999999998e-08,
2020-01-02 11:18:40.900,KAVV,IAML,2020-01-02 11:18:51.800,1.7899999999999998e-08,
2020-01-02 11:18:40.900,BUYA,IAML,2020-01-02 11:18:52.600,1.7899999999999998e-08,
2020-01-02 11:18:40.900,MDNY,IAML,2020-01-02 11:18:53.200,1.7899999999999998e-08,
2020-01-02 11:18:40.900,MRMT,IAML,2020-01-02 11:18:53.400,1.7899999999999998e-08,
2020-01-02 11:18:40.900,CTYL,IAML,2020-01-02 11:18:54.000,1.7899999999999998e-08,
2020-01-02 11:18:40.900,KLYT,IAML,2020-01-02 11:18:53.900,1.7899999999999998e-08,
2020-01-02 11:18:40.900,TUZL,IAML,2020-01-02 11:18:54.700,1.7899999999999998e-08,
2020-01-02 11:18:40.900,LAFA,IAML,2020-01-02 11:18:56.200,1.7899999999999998e-08,
2020-01-02 11:18:40.900,GAZK,IAML,2020-01-02 11:18:56.400,1.7899999999999998e-08,
2020-01-02 11:18:40.900,ORLT,IAML,2020-01-02 11:18:58.500,1.7899999999999998e-08,
2020-01-02 11:18:40.900,SUSR,IAML,2020-01-02 11:18:58.400,1.7899999999999998e-08,
2020-01-02 11:18:40.900,RKY,IAML,2020-01-02 11:18:58.500,1.7899999999999998e-08,
2020-01-02 11:18:40.900,KRBG,IAML,2020-01-02 11:18:58.500,1.7899999999999998e-08,
2020-01-02 11:18:40.900,GONE,IAML,2020-01-02 11:18:59.400,1.7899999999999998e-08,
2020-01-02 11:18:40.900,HRTX,IAML,2020-01-02 11:18:59.800,1.7899999999999998e-08,
2020-01-02 11:18:40.900,PHSR,IAML,2020-01-02 11:19:00.000,1.7899999999999998e-08,
2020-01-02 11:18:40.900,SILT,IAML,2020-01-02 11:19:00.400,1.7899999999999998e-08,
2020-01-02 11:18:40.900,OSMT,IAML,2020-01-02 11:19:01.500,1.7899999999999998e-08,
2020-01-02 11:18:40.900,BIGA,IAML,2020-01-02 11:19:01.700,1.7899999999999998e-08,
2020-01-02 11:18:40.900,ADVT,IAML,2020-01-02 11:19:02.500,1.7899999999999998e-08,
2020-01-02 11:18:40.900,YENI,IAML,2020-01-02 11:19:04.700,1.7899999999999998e-08,
2020-01-02 11:18:40.900,BALB,IAML,2020-01-02 11:19:04.900,1.7899999999999998e-08,
2020-01-02 11:18:40.900,DST,IAML,2020-01-02 11:19:04.900,1.7899999999999998e-08,
2020-01-02 11:18:40.900,CANM,IAML,2020-01-02 11:19:05.500,1.7899999999999998e-08,
2020-01-02 11:18:40.900,LAP,IAML,2020-01-02 11:19:05.500,1.7899999999999998e-08,
2020-01-02 11:18:40.900,CAVI,IAML,2020-01-02 11:19:05.700,1.7899999999999998e-08,
2020-01-02 11:18:40.900,UKOP,IAML,2020-01-02 11:19:06.200,1.7899999999999998e-08,
2020-01-02 11:18:40.900,ERIK,IAML,2020-01-02 11:19:06.200,1.7899999999999998e-08,
2020-01-02 11:18:40.900,GELI,IAML,2020-01-02 11:19:08.500,1.7899999999999998e-08,
2020-01-02 11:18:40.900,SAUV,IAML,2020-01-02 11:19:08.600,1.7899999999999998e-08,
2020-01-02 11:18:40.900,YAYO,IAML,2020-01-02 11:19:09.500,1.7899999999999998e-08,
2020-01-02 11:18:40.900,EDRB,IAML,2020-01-02 11:19:09.300,1.7899999999999998e-08,
2020-01-02 11:18:40.900,TVSB,IAML,2020-01-02 11:19:10.300,1.7899999999999998e-08,
2020-01-02 11:18:40.900,ENEZ,IAML,2020-01-02 11:19:11.100,1.7899999999999998e-08,
2020-01-02 11:18:40.900,GULT,IAML,2020-01-02 11:19:11.500,1.7899999999999998e-08,
2020-01-02 11:18:40.900,ALN,IAML,2020-01-02 11:19:11.900,2e-10,
2020-01-02 11:18:40.900,SIMA,IAML,2020-01-02 11:19:12.800,1.7899999999999998e-08,
2020-01-02 11:18:40.900,EZN,IAML,2020-01-02 11:19:14.300,1.7899999999999998e-08,
2020-01-02 11:18:40.900,GORD,IAML,2020-01-02 11:19:14.700,1.7899999999999998e-08,
2020-01-02 11:18:40.900,UVEZ,IAML,2020-01-02 11:19:14.800,1.7899999999999998e-08,
2020-01-02 11:18:40.900,BOZC,IAML,2020-01-02 11:19:15.900,2e-10,
2020-01-02 18:58:53.200,LAFA,IAML,2020-01-02 18:58:57.200,3.7e-09,
2020-01-02 18:58:53.200,ARMT,IAML,2020-01-02 18:58:59.800,3.7e-09,
2020-01-02 18:58:53.200,HRTX,IAML,2020-01-02 18:59:01.100,3.7e-09,
2020-01-02 18:58:53.200,KAVV,IAML,2020-01-02 18:59:01.400,3.7e-09,
2020-01-02 18:58:53.200,ADVT,IAML,2020-01-02 18:59:03.300,3.7e-09,
2020-01-02 18:58:53.200,CAVI,IAML,2020-01-02 18:59:07.300,3.7e-09,
